,Metric,Value,Additional Info
0,Total Trades,13.0,13 executed trades
1,Profitable Trades,8.0,61.5% of total trades
2,Losing Trades,5.0,38.5% of total trades
3,Total Profit,-0.010000000000005116,$-0.01
4,Maximum Investment,586.35,$586.35
5,Average Maximum Investment,586.35,$586.35
6,Return on Investment (ROI),-0.001705466018590452,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0007692307692311628,$-0.00
8,Average Winning Trade,0.010000000000001563,$0.01
9,Average Losing Trade,-0.018000000000003524,$-0.02
10,Profit Factor,0.8888888888888538,0.89x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
