,entry_time,index,type,entry_price,target_price,stop_loss_price,exit_time,exit_price,profit,exit_reason
0,2025-01-25 08:45:30,1,Short,117.26,117.25093283865051,117.26,2025-01-25 08:46:10,117.25,0.010000000000005116,Target Price Hit
1,2025-01-25 08:45:35,1,Short,117.26,117.25093283865051,117.26,2025-01-25 08:46:10,117.25,0.010000000000005116,Target Price Hit
2,2025-01-25 08:45:55,2,Short,109.73,109.7250646605668,109.73,2025-01-25 08:46:10,109.72,0.010000000000005116,Target Price Hit
3,2025-01-25 08:46:20,1,Long,117.26,117.26000047486968,117.26,2025-01-25 08:46:25,117.27,0.009999999999990905,Target Price Hit
4,2025-01-25 08:48:10,1,Short,117.25,117.2409325888272,117.25,2025-01-25 08:48:25,117.24,0.010000000000005116,Target Price Hit
5,2025-01-25 08:48:15,2,Short,109.73,109.72506458076946,109.73,2025-01-25 08:48:35,109.72,0.010000000000005116,Target Price Hit
6,2025-01-25 08:48:55,1,Long,117.25,117.25527460224737,117.25,2025-01-25 08:49:20,117.26,0.010000000000005116,Target Price Hit
7,2025-01-25 08:49:25,2,Long,109.73,109.73374418389562,109.73,2025-01-25 08:49:45,109.74,0.009999999999990905,Target Price Hit
8,2025-01-25 08:45:40,1,Long,117.27,117.27527494174643,116.68365,2025-01-25 08:50:00,117.24,-0.030000000000001137,End of Backtest Exit
9,2025-01-25 08:46:15,2,Short,109.72,109.71506466608322,110.26859999999999,2025-01-25 08:50:00,109.73,-0.010000000000005116,End of Backtest Exit
10,2025-01-25 08:48:40,2,Short,109.72,109.7150645064622,110.26859999999999,2025-01-25 08:50:00,109.73,-0.010000000000005116,End of Backtest Exit
11,2025-01-25 08:49:20,2,Short,109.72,109.71506458627952,110.26859999999999,2025-01-25 08:50:00,109.73,-0.010000000000005116,End of Backtest Exit
12,2025-01-25 08:49:50,1,Long,117.27,117.27527494174643,116.68365,2025-01-25 08:50:00,117.24,-0.030000000000001137,End of Backtest Exit
