,Metric,Value,Additional Info
0,Total Trades,12.0,12 executed trades
1,Profitable Trades,5.0,41.7% of total trades
2,Losing Trades,7.0,58.3% of total trades
3,Total Profit,-0.07999999999995566,$-0.08
4,Maximum Investment,877.92,$877.92
5,Average Maximum Investment,877.92,$877.92
6,Return on Investment (ROI),-0.00911244760342123,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.006666666666662972,$-0.01
8,Average Winning Trade,0.024000000000006592,$0.02
9,Average Losing Trade,-0.028571428571426947,$-0.03
10,Profit Factor,0.6000000000001989,0.60x return ratio
11,Stop Loss Hit Rate,16.666666666666664,16.7% of total trades
