,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,1.0,33.3% of total trades
2,Losing Trades,2.0,66.7% of total trades
3,Total Profit,-0.0043999999999897454,$-0.00
4,Maximum Investment,109.75,$109.75
5,Average Maximum Investment,109.75,$109.75
6,Return on Investment (ROI),-0.004009111617302729,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0014666666666632484,$-0.00
8,Average Winning Trade,0.015600000000006276,$0.02
9,Average Losing Trade,-0.00999999999999801,$-0.01
10,Profit Factor,0.780000000000469,0.78x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
