,Metric,Value,Additional Info
0,Total Trades,11.0,11 executed trades
1,Profitable Trades,9.0,81.8% of total trades
2,Losing Trades,2.0,18.2% of total trades
3,Total Profit,0.07699999999996976,$0.08
4,Maximum Investment,586.55,$586.55
5,Average Maximum Investment,586.55,$586.55
6,Return on Investment (ROI),0.0131276106043764,0.01% (based on avg max investment)
7,Average Profit per Trade,0.006999999999997251,$0.01
8,Average Winning Trade,0.016955555555553146,$0.02
9,Average Losing Trade,-0.037800000000004275,$-0.04
10,Profit Factor,2.0185185185180035,2.02x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
