,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,2.0,66.7% of total trades
2,Losing Trades,1.0,33.3% of total trades
3,Total Profit,0.01999999999998181,$0.02
4,Maximum Investment,220.98,$220.98
5,Average Maximum Investment,220.98,$220.98
6,Return on Investment (ROI),0.009050592813821074,0.01% (based on avg max investment)
7,Average Profit per Trade,0.006666666666660603,$0.01
8,Average Winning Trade,0.009999999999990905,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,33.33333333333333,33.3% of total trades
