,Metric,Value,Additional Info
0,Total Trades,1.0,1 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,1.0,100.0% of total trades
3,Total Profit,-0.40000000000009095,$-0.40
4,Maximum Investment,2324.7,$2324.70
5,Average Maximum Investment,2324.7,$2324.70
6,Return on Investment (ROI),-0.017206521271565835,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.40000000000009095,$-0.40
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.40000000000009095,$-0.40
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
