,Metric,Value,Additional Info
0,Total Trades,1.0,1 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,1.0,100.0% of total trades
3,Total Profit,-0.015599999999992065,$-0.02
4,Maximum Investment,108.9688,$108.97
5,Average Maximum Investment,108.9688,$108.97
6,Return on Investment (ROI),-0.014316024403308161,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.015599999999992065,$-0.02
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.015599999999992065,$-0.02
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
