,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,6.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.07000000000000739,$0.07
4,Maximum Investment,351.93,$351.93
5,Average Maximum Investment,351.93,$351.93
6,Return on Investment (ROI),0.019890319097549906,0.02% (based on avg max investment)
7,Average Profit per Trade,0.011666666666667899,$0.01
8,Average Winning Trade,0.011666666666667899,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
