,entry_time,index,type,entry_price,target_price,stop_loss_price,exit_time,exit_price,profit,exit_reason
0,2025-01-25 14:05:15,1,Short,117.43,117.41586486399281,117.43,2025-01-25 14:05:25,117.41,0.020000000000010232,Target Price Hit
1,2025-01-25 14:05:20,2,Short,109.85,109.84106595991302,109.85,2025-01-25 14:05:30,109.84,0.009999999999990905,Target Price Hit
2,2025-01-25 14:05:35,1,Short,117.39,117.37293544872036,117.39,2025-01-25 14:05:40,117.37,0.01999999999999602,Target Price Hit
3,2025-01-25 14:05:40,1,Short,117.39,117.38093272369268,117.39,2025-01-25 14:05:45,117.37,0.01999999999999602,Target Price Hit
4,2025-01-25 14:05:50,1,Short,117.37,117.36093300331841,117.37,2025-01-25 14:07:55,117.36,0.010000000000005116,Target Price Hit
5,2025-01-25 14:06:20,1,Short,117.39,117.38093272369268,117.39,2025-01-25 14:07:55,117.36,0.030000000000001137,Target Price Hit
6,2025-01-25 14:07:30,1,Short,117.4,117.38693443285075,117.4,2025-01-25 14:07:55,117.36,0.04000000000000625,Target Price Hit
7,2025-01-25 14:08:40,1,Long,117.39,117.39955075440946,117.39,2025-01-25 14:08:55,117.4,0.010000000000005116,Target Price Hit
8,2025-01-25 14:08:50,2,Short,109.84,109.83506467966235,109.84,2025-01-25 14:09:10,109.83,0.010000000000005116,Target Price Hit
9,2025-01-25 14:08:55,2,Short,109.84,109.83506467966235,109.84,2025-01-25 14:09:10,109.83,0.010000000000005116,Target Price Hit
10,2025-01-25 14:09:20,1,Short,117.37,117.35693383086388,117.37,2025-01-25 14:09:45,117.35,0.020000000000010232,Target Price Hit
11,2025-01-25 14:08:00,1,Short,117.36,117.3418687195409,117.36,2025-01-25 14:09:55,117.34,0.01999999999999602,Target Price Hit
12,2025-01-25 14:08:05,1,Short,117.36,117.3418687195409,117.36,2025-01-25 14:09:55,117.34,0.01999999999999602,Target Price Hit
13,2025-01-25 14:09:50,1,Short,117.35,117.33693391607822,117.35,2025-01-25 14:10:00,117.36,-0.010000000000005116,Stop Loss Hit
14,2025-01-25 14:05:45,2,Short,109.82,109.81013042846762,110.36909999999997,2025-01-25 14:10:00,109.82,0.0,End of Backtest Exit
15,2025-01-25 14:06:40,1,Long,117.43,117.43855314476514,116.84285000000001,2025-01-25 14:10:00,117.36,-0.07000000000000739,End of Backtest Exit
16,2025-01-25 14:07:20,2,Long,109.86,109.8684856544435,109.3107,2025-01-25 14:10:00,109.82,-0.04000000000000625,End of Backtest Exit
17,2025-01-25 14:09:45,2,Short,109.82,109.81506477040129,110.36909999999997,2025-01-25 14:10:00,109.82,0.0,End of Backtest Exit
