,Metric,Value,Additional Info
0,Total Trades,7.0,7 executed trades
1,Profitable Trades,2.0,28.6% of total trades
2,Losing Trades,5.0,71.4% of total trades
3,Total Profit,-0.049999999999954525,$-0.05
4,Maximum Investment,586.65,$586.65
5,Average Maximum Investment,586.65,$586.65
6,Return on Investment (ROI),-0.008522969402532093,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.007142857142850646,$-0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.013999999999992952,$-0.01
10,Profit Factor,0.28571428571457574,0.29x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
