,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,1.0,50.0% of total trades
2,Losing Trades,1.0,50.0% of total trades
3,Total Profit,1.75,$1.75
4,Maximum Investment,5115.0,$5115.00
5,Average Maximum Investment,5115.0,$5115.00
6,Return on Investment (ROI),0.03421309872922776,0.03% (based on avg max investment)
7,Average Profit per Trade,0.875,$0.88
8,Average Winning Trade,2.25,$2.25
9,Average Losing Trade,-0.5,$-0.50
10,Profit Factor,4.5,4.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
