,Metric,Value,Additional Info
0,Total Trades,8.0,8 executed trades
1,Profitable Trades,5.0,62.5% of total trades
2,Losing Trades,3.0,37.5% of total trades
3,Total Profit,0.030000000000001137,$0.03
4,Maximum Investment,472.32,$472.32
5,Average Maximum Investment,472.32,$472.32
6,Return on Investment (ROI),0.006351626016260404,0.01% (based on avg max investment)
7,Average Profit per Trade,0.003750000000000142,$0.00
8,Average Winning Trade,0.009999999999999431,$0.01
9,Average Losing Trade,-0.00666666666666534,$-0.01
10,Profit Factor,2.5000000000003553,2.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
