,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,1.0,20.0% of total trades
2,Losing Trades,4.0,80.0% of total trades
3,Total Profit,-0.010000000000019327,$-0.01
4,Maximum Investment,440.36,$440.36
5,Average Maximum Investment,440.36,$440.36
6,Return on Investment (ROI),-0.0022708692887681275,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0020000000000038654,$-0.00
8,Average Winning Trade,0.009999999999990905,$0.01
9,Average Losing Trade,-0.005000000000002558,$-0.01
10,Profit Factor,0.49999999999928946,0.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
