,Metric,Value,Additional Info
0,Total Trades,13.0,13 executed trades
1,Profitable Trades,6.0,46.2% of total trades
2,Losing Trades,7.0,53.8% of total trades
3,Total Profit,-0.14009999999997547,$-0.14
4,Maximum Investment,703.8,$703.80
5,Average Maximum Investment,703.8,$703.80
6,Return on Investment (ROI),-0.019906223358905295,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.010776923076921189,$-0.01
8,Average Winning Trade,0.018216666666669806,$0.02
9,Average Losing Trade,-0.035628571428570614,$-0.04
10,Profit Factor,0.43825180433047844,0.44x return ratio
11,Stop Loss Hit Rate,7.6923076923076925,7.7% of total trades
