,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,1.0,33.3% of total trades
2,Losing Trades,2.0,66.7% of total trades
3,Total Profit,-0.029999999999986926,$-0.03
4,Maximum Investment,352.17,$352.17
5,Average Maximum Investment,352.17,$352.17
6,Return on Investment (ROI),-0.008518613169772248,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.009999999999995643,$-0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.01999999999999602,$-0.02
10,Profit Factor,0.25000000000017764,0.25x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
